d000.s000.t000 bn:00040813n
d000.s001.t000 bn:00042059n
d000.s002.t000 bn:00076732n
d000.s003.t000 bn:00077554n bn:00077553n
d000.s004.t000 bn:00016401n
d000.s005.t000 bn:00094338v
d000.s006.t000 bn:00090852v
d000.s007.t000 bn:00065108n
d000.s008.t000 bn:00071869n
d000.s009.t000 bn:00020858n
d000.s010.t000 bn:00033966n
d000.s011.t000 bn:00021766n
d000.s012.t000 bn:00021769n
d000.s013.t000 bn:00047901n
d000.s014.t000 bn:00005158n
d000.s015.t000 bn:00035649n
d000.s016.t000 bn:00016013n
d000.s017.t000 bn:00073801n
d000.s018.t000 bn:00059928n
d000.s019.t000 bn:00046137n
d000.s020.t000 bn:00035778n
d000.s021.t000 bn:00020452n
d000.s022.t000 bn:00003340n
d000.s023.t000 bn:00032306n
d000.s024.t000 bn:00073853n
d000.s025.t000 bn:00070724n
d000.s026.t000 bn:00090946v
d000.s027.t000 bn:00048065n
d000.s028.t000 bn:00075413n
d000.s029.t000 bn:00027716n
d000.s030.t000 bn:00042663n
d000.s031.t000 bn:00049322n
d000.s032.t000 bn:00032645n
d000.s033.t000 bn:00040701n
d000.s034.t000 bn:00091389v
d000.s035.t000 bn:00015853n
d000.s036.t000 bn:00023758n
d000.s037.t000 bn:00047823n
d000.s038.t000 bn:00057287n
d000.s039.t000 bn:00005845n
d000.s040.t000 bn:00028795n
d000.s041.t000 bn:00067519n
d000.s042.t000 bn:00064168n
d000.s043.t000 bn:00068672n
d000.s044.t000 bn:00005047n
d000.s045.t000 bn:00005518n
d000.s046.t000 bn:00000777n
d000.s047.t000 bn:00007020n
d000.s048.t000 bn:00045705n
d000.s049.t000 bn:00012940n
d000.s050.t000 bn:00088060v
d000.s051.t000 bn:00056426n
d000.s052.t000 bn:00001426n
d000.s053.t000 bn:00088847v
d000.s054.t000 bn:00046997n
d000.s055.t000 bn:00095149v
d000.s056.t000 bn:00002187n
d000.s057.t000 bn:00067975n
d000.s058.t000 bn:00005704n
d000.s059.t000 bn:00014795n
d000.s060.t000 bn:00006752n
d000.s061.t000 bn:00050341n
d000.s062.t000 bn:00003295n
d000.s064.t000 bn:00016047n
d000.s065.t000 bn:00067764n
d000.s066.t000 bn:00048496n
d000.s067.t000 bn:00013379n
d000.s068.t000 bn:00003882n
d000.s069.t000 bn:00070613n
d000.s070.t000 bn:00005702n
d000.s071.t000 bn:00061344n
d000.s072.t000 bn:00035670n
d000.s073.t000 bn:00018663n
d000.s074.t000 bn:00043358n
d000.s075.t000 bn:00062414n
d000.s076.t000 bn:00091390v
d000.s077.t000 bn:00040701n
d000.s078.t000 bn:00072576n
d000.s079.t000 bn:00053338n
d000.s080.t000 bn:00098342a
d000.s081.t000 bn:00046046n
d000.s082.t000 bn:00022453n
d000.s083.t000 bn:00028609n
d000.s084.t000 bn:00017984n
d000.s085.t000 bn:00058575n
d000.s086.t000 bn:00030333n
d000.s087.t000 bn:00019780n
d000.s088.t000 bn:00001939n
d000.s089.t000 bn:00082668v
d000.s090.t000 bn:00013722n
d000.s091.t000 bn:00089574v
d000.s092.t000 bn:00037022n
d000.s093.t000 bn:00001962n
d000.s094.t000 bn:00058325n
d000.s095.t000 bn:00007309n
d000.s096.t000 bn:00018105n
d000.s097.t000 bn:00083286v
d000.s098.t000 bn:00094484v
d000.s099.t000 bn:00077172n bn:00019887n
d000.s100.t000 bn:00001525n
d000.s101.t000 bn:00018265n
d000.s102.t000 bn:00019479n
d000.s103.t000 bn:00037489n
d000.s104.t000 bn:00036107n
d000.s105.t000 bn:00047333n bn:00047332n
d000.s106.t000 bn:00029667n
d000.s107.t000 bn:00015784n
d000.s108.t000 bn:00035305n
d000.s109.t000 bn:00006129n
d000.s110.t000 bn:00016403n
d000.s111.t000 bn:00021547n
d000.s112.t000 bn:00015785n
d000.s113.t000 bn:00032300n
d000.s114.t000 bn:00080022n
d000.s115.t000 bn:00004493n
