d000.s000.t000 bn:00056996n
d000.s001.t000 bn:00089280v
d000.s002.t000 bn:00086009v
d000.s003.t000 bn:00053518n
d000.s004.t000 bn:00082641v
d000.s005.t000 bn:00091692v
d000.s006.t000 bn:00013083n
d000.s007.t000 bn:00034854n
d000.s008.t000 bn:00103813a
d000.s009.t000 bn:00030375n
d000.s010.t000 bn:00063864n
d000.s011.t000 bn:00086390v
d000.s012.t000 bn:00085807v
d000.s013.t000 bn:00090871v
d000.s014.t000 bn:00054550n
d000.s015.t000 bn:00020858n
d000.s016.t000 bn:00087878v
d000.s017.t000 bn:00040436n
d000.s018.t000 bn:00081454n
d000.s019.t000 bn:00033854n
d000.s020.t000 bn:00113790a
d000.s021.t000 bn:00069755n bn:00069750n
d000.s022.t000 bn:00070842n
d000.s023.t000 bn:00034048n
d000.s024.t000 bn:00022049n
d000.s025.t000 bn:00049248n
d000.s026.t000 bn:00057730n
d000.s027.t000 bn:00108049a
d000.s028.t000 bn:00046272n
d000.s029.t000 bn:00042006n
d000.s030.t000 bn:00022191n
d000.s031.t000 bn:00107232a
d000.s032.t000 bn:00003270n
d000.s033.t000 bn:00083612v
d000.s034.t000 bn:00035474n
d000.s035.t000 bn:00022264n
d000.s036.t000 bn:00032768n
d000.s037.t000 bn:00050680n
d000.s038.t000 bn:00109662a
d000.s039.t000 bn:00051538n
d000.s040.t000 bn:00108566a
d000.s041.t000 bn:00020608n
d000.s042.t000 bn:00099407a
d000.s043.t000 bn:00082355v
d000.s044.t000 bn:00021747n
d000.s045.t000 bn:00032300n
d000.s046.t000 bn:00084846v
d000.s047.t000 bn:00002554n
d000.s048.t000 bn:00032100n
d000.s049.t000 bn:00082283v
d000.s050.t000 bn:00000728n
d000.s051.t000 bn:00007182n
d000.s052.t000 bn:00028482n
d000.s053.t000 bn:00007018n
d000.s054.t000 bn:00101429a
d000.s055.t000 bn:00090880v
d000.s056.t000 bn:00048659n
d000.s057.t000 bn:00064673n
d000.s058.t000 bn:00091360v
d000.s059.t000 bn:00086229v
d000.s060.t000 bn:00106527a
d000.s061.t000 bn:00021547n
d000.s062.t000 bn:00026838n
d000.s063.t000 bn:00022046n
d000.s064.t000 bn:00073887n
d000.s065.t000 bn:00090489v bn:00090491v
d000.s066.t000 bn:00001436n
d000.s067.t000 bn:00027880n
d000.s068.t000 bn:00007377n
d000.s069.t000 bn:00056669n
d000.s070.t000 bn:00088488v
d000.s071.t000 bn:00082687v
d000.s072.t000 bn:00030333n
d000.s073.t000 bn:00023310n
d000.s074.t000 bn:00027685n
d000.s075.t000 bn:00028640n
d000.s076.t000 bn:00012493n
d000.s077.t000 bn:00088759v
d000.s078.t000 bn:00010210n
d000.s079.t000 bn:00050521n
d000.s080.t000 bn:00046905n
d000.s081.t000 bn:00036886n
d000.s082.t000 bn:00017612n
d000.s083.t000 bn:00012681n
d000.s084.t000 bn:00105385a
d000.s085.t000 bn:00100090a
d000.s086.t000 bn:00030922n
d000.s087.t000 bn:00002071n
d000.s088.t000 bn:00082414v
d000.s089.t000 bn:00080147n
d000.s090.t000 bn:00077172n bn:00019887n
d000.s091.t000 bn:00031712n
d000.s092.t000 bn:00068266n
d000.s093.t000 bn:00006143n
d000.s094.t000 bn:00053934n bn:00055167n bn:00052194n
d000.s095.t000 bn:00061334n
d000.s096.t000 bn:00000992n
d000.s097.t000 bn:00067220n
d000.s098.t000 bn:00001436n
d000.s099.t000 bn:00096430a
d000.s100.t000 bn:00070512n
d000.s101.t000 bn:00007085n
d000.s102.t000 bn:00042665n
d000.s103.t000 bn:00021649n
d000.s104.t000 bn:00068167n
d000.s105.t000 bn:00013883n
d000.s106.t000 bn:00047083n
d000.s107.t000 bn:00000662n
d000.s108.t000 bn:00003295n
d000.s109.t000 bn:00060943n
d000.s110.t000 bn:00060894n
d000.s111.t000 bn:00041433n
d000.s112.t000 bn:00052907n
d000.s113.t000 bn:00052131n
d000.s114.t000 bn:00001303n
d000.s115.t000 bn:00004350n
d000.s116.t000 bn:00055180n
d000.s117.t000 bn:00004339n
d000.s118.t000 bn:00098942a
d000.s119.t000 bn:00109244a
d000.s120.t000 bn:00103580a
d000.s121.t000 bn:00060768n
d000.s122.t000 bn:00087976v
d000.s123.t000 bn:00030615n
d000.s124.t000 bn:00022107n
d000.s125.t000 bn:00049322n
d000.s126.t000 bn:00046478n
d000.s127.t000 bn:00013585n
d000.s128.t000 bn:00045161n
d000.s129.t000 bn:00082702v
d000.s130.t000 bn:00083515v
d000.s131.t000 bn:00079332n
d000.s132.t000 bn:00020452n
d000.s133.t000 bn:00069638n
d000.s134.t000 bn:00006523n
d000.s135.t000 bn:00080835n
d000.s136.t000 bn:00015663n
d000.s137.t000 bn:00085125v
d000.s138.t000 bn:00023072n bn:00023073n
d000.s139.t000 bn:00082711v
d000.s140.t000 bn:00072004n
d000.s141.t000 bn:00097606a
d000.s142.t000 bn:00087321v
d000.s143.t000 bn:00094109v
d000.s144.t000 bn:00067030n
d000.s145.t000 bn:00097552a
d000.s146.t000 bn:00086534v
d000.s147.t000 bn:00090268v
d000.s148.t000 bn:00019219n
d000.s149.t000 bn:00110487a
d000.s150.t000 bn:00011850n
d000.s151.t000 bn:00077386n
d000.s152.t000 bn:00075592n
d000.s153.t000 bn:00002491n
d000.s154.t000 bn:00089103v
d000.s155.t000 bn:00034151n
d000.s156.t000 bn:00102799a
d000.s157.t000 bn:00020534n
d000.s158.t000 bn:00012682n
d000.s159.t000 bn:00030844n
d000.s160.t000 bn:00037229n
d000.s161.t000 bn:00110756a
d000.s162.t000 bn:00006759n
d000.s163.t000 bn:00003604n
d000.s164.t000 bn:00034422n
d000.s165.t000 bn:00034542n
d000.s166.t000 bn:00027882n
d000.s167.t000 bn:00102971a
d000.s168.t000 bn:00030616n
d000.s169.t000 bn:00005007n
d000.s170.t000 bn:00042663n
d000.s171.t000 bn:00033965n
d000.s172.t000 bn:00090417v
d000.s173.t000 bn:00106058a
d000.s174.t000 bn:00066743n
d000.s175.t000 bn:00105859a
d000.s176.t000 bn:00043668n
d000.s177.t000 bn:00001274n
d000.s178.t000 bn:00054884n
