d000.s000.t000 bn:00012484n
d000.s001.t000 bn:00049560n
d000.s002.t000 bn:00056748n
d000.s003.t000 bn:00101839a
d000.s004.t000 bn:00027976n
d000.s005.t000 bn:00019980n
d000.s006.t000 bn:00057188n
d000.s009.t000 bn:00053191n
d000.s010.t000 bn:00066793n
d000.s011.t000 bn:00036984n
d000.s012.t000 bn:00006502n
d000.s014.t000 bn:00083286v
d000.s015.t000 bn:00057267n
d000.s016.t000 bn:00086557v
d000.s017.t000 bn:00019138n
d000.s018.t000 bn:00081408n
d000.s021.t000 bn:00035931n
d000.s024.t000 bn:00050864n
d000.s025.t000 bn:00017726n
d000.s026.t000 bn:00052347n
d000.s027.t000 bn:00054808n
d000.s029.t000 bn:00012214n
d000.s030.t000 bn:00062891n
d000.s031.t000 bn:00061135n
d000.s032.t000 bn:00087901v
d000.s033.t000 bn:00022862n
d000.s034.t000 bn:00019811n
d000.s036.t000 bn:00086880v
d000.s037.t000 bn:00029124n
d000.s038.t000 bn:00010728n
d000.s039.t000 bn:00082286v
d000.s040.t000 bn:00019262n
d000.s041.t000 bn:00083296v
d000.s042.t000 bn:00010633n
d000.s043.t000 bn:00017027n
d000.s044.t000 bn:00082643v
d000.s045.t000 bn:00030820n
d000.s047.t000 bn:00005737n
d000.s049.t000 bn:00002155n
d000.s050.t000 bn:00065982n
d000.s051.t000 bn:00082481v
d000.s052.t000 bn:00056383n
d000.s053.t000 bn:00025631n
d000.s054.t000 bn:00072554n
d000.s056.t000 bn:00021706n
d000.s057.t000 bn:00046542n
d000.s058.t000 bn:00011638n
d000.s059.t000 bn:00077340n
d000.s060.t000 bn:00027353n
d000.s061.t000 bn:00015211n
d000.s062.t000 bn:00086557v
d000.s063.t000 bn:00022287n
d000.s064.t000 bn:00002237n
d000.s065.t000 bn:00006523n
d000.s069.t000 bn:00008874n
d000.s070.t000 bn:00009439n
d000.s071.t000 bn:00114073r
d000.s072.t000 bn:00057889n
d000.s073.t000 bn:00001168n
d000.s074.t000 bn:00003553n
d000.s075.t000 bn:00046954n
d000.s076.t000 bn:00025928n
d000.s077.t000 bn:00075732n
d000.s078.t000 bn:00053461n
d000.s080.t000 bn:00029914n
d000.s085.t000 bn:00005803n
d000.s087.t000 bn:00061218n
d000.s088.t000 bn:00079442n
d000.s089.t000 bn:00070858n
d000.s090.t000 bn:00052980n
d000.s091.t000 bn:00043620n
d000.s092.t000 bn:00011639n
d000.s093.t000 bn:00065884n
d000.s095.t000 bn:00052050n
d000.s098.t000 bn:00055124n
d000.s099.t000 bn:00090489v bn:00090491v
d000.s100.t000 bn:00011894n bn:00011893n
d000.s101.t000 bn:00044835n
d000.s102.t000 bn:00013806n
d000.s103.t000 bn:00040888n
d000.s104.t000 bn:00082705v
d000.s106.t000 bn:00027430n
d000.s107.t000 bn:00037763n
d000.s108.t000 bn:00006724n
d000.s111.t000 bn:00047114n
d000.s113.t000 bn:00007727n
d000.s114.t000 bn:00046958n
d000.s115.t000 bn:00082977v
d000.s116.t000 bn:00056996n
d000.s117.t000 bn:00114073r
d000.s119.t000 bn:00095412v
d000.s120.t000 bn:00059308n
d000.s121.t000 bn:00004945n
d000.s122.t000 bn:00012426n
d000.s123.t000 bn:00017621n
d000.s125.t000 bn:00008267n
d000.s126.t000 bn:00089407v
d000.s127.t000 bn:00023237n
d000.s128.t000 bn:00080895n
d000.s129.t000 bn:00072505n
d000.s130.t000 bn:00021649n
d000.s131.t000 bn:00104162a
d000.s132.t000 bn:00035570n
d000.s133.t000 bn:00085616v
d000.s134.t000 bn:00015895n
d000.s135.t000 bn:00056304n
d000.s136.t000 bn:00034620n
d000.s138.t000 bn:00034265n
d000.s139.t000 bn:00007691n
d000.s140.t000 bn:00114245r
d000.s141.t000 bn:00043507n
d000.s142.t000 bn:00045796n
d000.s143.t000 bn:00001304n
d000.s144.t000 bn:00040736n
d000.s145.t000 bn:00001530n bn:00034016n
d000.s146.t000 bn:00090182v
d000.s147.t000 bn:00014609n
d000.s148.t000 bn:00016074n
d000.s150.t000 bn:00089806v
d000.s153.t000 bn:00032732n
d000.s154.t000 bn:00086391v
d000.s155.t000 bn:00065538n
d000.s156.t000 bn:00022264n
d000.s157.t000 bn:00011342n
d000.s158.t000 bn:00114216r
d000.s160.t000 bn:00042994n
d000.s161.t000 bn:00064347n
d000.s163.t000 bn:00013600n
d000.s164.t000 bn:00100990a
d000.s165.t000 bn:00041942n
d000.s167.t000 bn:00031061n
d000.s168.t000 bn:00084007v
d000.s169.t000 bn:00035986n
d000.s172.t000 bn:00006140n
d000.s173.t000 bn:00021045n
d000.s174.t000 bn:00046403n
d000.s176.t000 bn:00082280v
d000.s177.t000 bn:00032309n
d000.s178.t000 bn:00057546n
d000.s179.t000 bn:00056031n
d000.s180.t000 bn:00027508n
d000.s181.t000 bn:00064755n
d000.s182.t000 bn:00022146n
d000.s183.t000 bn:00030333n
d000.s184.t000 bn:00007085n
d000.s185.t000 bn:00035749n
d000.s189.t000 bn:00015268n
d000.s191.t000 bn:00007037n
d000.s192.t000 bn:00058512n
d000.s193.t000 bn:00018782n
d000.s194.t000 bn:00036734n
d000.s195.t000 bn:00048988n
d000.s196.t000 bn:00059588n
d000.s197.t000 bn:00005929n
d000.s198.t000 bn:00008870n
d000.s199.t000 bn:00071731n
d000.s200.t000 bn:00009677n
d000.s201.t000 bn:00001337n
d000.s202.t000 bn:00001598n
d000.s203.t000 bn:00008594n
d000.s205.t000 bn:00042150n
d000.s206.t000 bn:00089164v
d000.s207.t000 bn:00060464n
d000.s208.t000 bn:00072128n
d000.s209.t000 bn:00019285n
d000.s210.t000 bn:00017621n
d000.s211.t000 bn:00095827v
d000.s212.t000 bn:00069034n
d000.s214.t000 bn:00063641n
d000.s215.t000 bn:00080101n
d000.s216.t000 bn:00068552n
d000.s217.t000 bn:00040754n
d000.s218.t000 bn:00058174n
d000.s219.t000 bn:00066188n
d000.s220.t000 bn:00106058a
d000.s221.t000 bn:00066598n
d000.s222.t000 bn:00019089n
d000.s223.t000 bn:00078424n
d000.s224.t000 bn:00011176n
d000.s225.t000 bn:00065280n
d000.s226.t000 bn:00003604n
d000.s227.t000 bn:00001521n
d000.s228.t000 bn:00103624a
d000.s229.t000 bn:00111108a
d000.s230.t000 bn:00076457n
d000.s232.t000 bn:00061150n
d000.s233.t000 bn:00065800n
d000.s234.t000 bn:00086880v
d000.s235.t000 bn:00048698n
d000.s237.t000 bn:00031708n
d000.s238.t000 bn:00054625n
d000.s239.t000 bn:00045632n
d000.s240.t000 bn:00005846n
d000.s241.t000 bn:00067705n
d000.s242.t000 bn:00021981n bn:00056454n
d000.s244.t000 bn:00004993n
d000.s245.t000 bn:00062790n
d000.s246.t000 bn:00021966n
d000.s247.t000 bn:00062261n
d000.s249.t000 bn:00043908n
d000.s250.t000 bn:00069143n
d000.s254.t000 bn:00060201n
d000.s255.t000 bn:00023233n
d000.s259.t000 bn:00007124n
d000.s263.t000 bn:00114523r
d000.s264.t000 bn:00079831n
d000.s266.t000 bn:00065224n bn:00065225n
d000.s269.t000 bn:00008922n
d000.s270.t000 bn:00011468n
d000.s271.t000 bn:00001520n
d000.s273.t000 bn:00006261n
d000.s274.t000 bn:00026416n
d000.s275.t000 bn:00011639n
d000.s276.t000 bn:00094109v
d000.s277.t000 bn:00062600n
d000.s278.t000 bn:00037597n
d000.s279.t000 bn:00035022n
d000.s281.t000 bn:00074323n
d000.s283.t000 bn:00006886n
d000.s284.t000 bn:00016859n
d000.s285.t000 bn:00043842n
d000.s286.t000 bn:00058415n
d000.s287.t000 bn:00089909v
d000.s289.t000 bn:00024293n
d000.s290.t000 bn:00025804n
d000.s292.t000 bn:00066809n
d000.s293.t000 bn:00069624n
d000.s294.t000 bn:00008916n
d000.s296.t000 bn:00081167n
d000.s297.t000 bn:00021391n
d000.s300.t000 bn:00002059n
d000.s301.t000 bn:00092443v
d000.s302.t000 bn:00005435n
d000.s305.t000 bn:00050925n
d000.s306.t000 bn:00000641n
d000.s307.t000 bn:00084302v
d000.s308.t000 bn:00035477n
d000.s309.t000 bn:00001744n
d000.s310.t000 bn:00011638n
d000.s312.t000 bn:00028252n
d000.s313.t000 bn:00057149n
d000.s314.t000 bn:00031107n
d000.s315.t000 bn:00003057n
d000.s317.t000 bn:00082412v bn:00090740v
d000.s318.t000 bn:00026869n
d000.s321.t000 bn:00066495n
d000.s322.t000 bn:00049663n
d000.s323.t000 bn:00017379n
d000.s324.t000 bn:00030765n
d000.s325.t000 bn:00006911n
d000.s326.t000 bn:00034492n
d000.s327.t000 bn:00106855a
d000.s329.t000 bn:00074904n
d000.s330.t000 bn:00053619n
d000.s331.t000 bn:00000563n bn:00000564n
d000.s332.t000 bn:00021921n
d000.s335.t000 bn:00010534n
d000.s336.t000 bn:00026501n
d000.s337.t000 bn:00055264n
d000.s338.t000 bn:00080285n
d000.s339.t000 bn:00017550n
d000.s340.t000 bn:00030757n
d000.s343.t000 bn:00037572n
d000.s344.t000 bn:00067002n
d000.s345.t000 bn:00090745v
d000.s346.t000 bn:00047043n
d000.s347.t000 bn:00043842n
d000.s348.t000 bn:00029859n
d000.s349.t000 bn:00086682v
d000.s351.t000 bn:00010534n
d000.s352.t000 bn:00044419n
d000.s355.t000 bn:00043842n
d000.s356.t000 bn:00058117n
d000.s357.t000 bn:00049603n
d000.s358.t000 bn:00021395n
d000.s360.t000 bn:00007037n
d000.s363.t000 bn:00089679v
d000.s364.t000 bn:00063196n
d000.s365.t000 bn:00082727v
d000.s367.t000 bn:00082838v
d000.s370.t000 bn:00003500n bn:00003418n
d000.s372.t000 bn:00013745n
d000.s373.t000 bn:00069624n
d000.s374.t000 bn:00038641n bn:00002643n
d000.s375.t000 bn:00095650v
d000.s376.t000 bn:00059107n
d000.s377.t000 bn:00063940n
d000.s378.t000 bn:00061950n
d000.s379.t000 bn:00044654n
d000.s380.t000 bn:00013868n
d000.s381.t000 bn:00045462n
d000.s384.t000 bn:00042404n
