d000.s000.t000 bn:00048256n
d000.s001.t000 bn:00018514n
d000.s002.t000 bn:00052130n
d000.s003.t000 bn:00055564n
d000.s004.t000 bn:00013998n
d000.s005.t000 bn:00061565n
d000.s006.t000 bn:00000704n
d000.s007.t000 bn:00067705n
d000.s008.t000 bn:00071282n
d000.s009.t000 bn:00003780n
d000.s010.t000 bn:00024119n
d000.s011.t000 bn:00058559n
d000.s012.t000 bn:00016377n
d000.s013.t000 bn:00026402n
d000.s014.t000 bn:00050302n
d000.s015.t000 bn:00041045n
d000.s016.t000 bn:00015056n
d000.s017.t000 bn:00025314n
d000.s018.t000 bn:00040336n
d000.s019.t000 bn:00002088n
d000.s020.t000 bn:00016990n
d000.s021.t000 bn:00016849n
d000.s022.t000 bn:00081307n
d000.s023.t000 bn:00092969v
d000.s024.t000 bn:00086531v
d000.s025.t000 bn:00071932n
d000.s026.t000 bn:00092783v
d000.s027.t000 bn:00056098n
d000.s028.t000 bn:00071756n
d000.s029.t000 bn:00084792v
d000.s030.t000 bn:00071233n
d000.s031.t000 bn:00052762n
d000.s032.t000 bn:00001296n
d000.s033.t000 bn:00046094n
d000.s034.t000 bn:00032175n
d000.s035.t000 bn:00082138v bn:00087618v
d000.s036.t000 bn:00086663v
d000.s037.t000 bn:00086979v
d000.s038.t000 bn:00048668n
d000.s039.t000 bn:00050802n
d000.s040.t000 bn:00036813n
d000.s041.t000 bn:00021248n
d000.s042.t000 bn:00008348n
d000.s043.t000 bn:00006847n
d000.s044.t000 bn:00040162n bn:00082076n
d000.s045.t000 bn:00073120n
d000.s046.t000 bn:00059451n
d000.s047.t000 bn:00012710n
d000.s048.t000 bn:00018038n
d000.s049.t000 bn:00006807n bn:00002189n
d000.s050.t000 bn:00055609n
d000.s051.t000 bn:00011412n
d000.s052.t000 bn:00042326n
d000.s053.t000 bn:00003142n
d000.s054.t000 bn:00083370v
d000.s055.t000 bn:00021395n
d000.s056.t000 bn:00042738n
d000.s057.t000 bn:00055537n
d000.s058.t000 bn:00027911n
d000.s059.t000 bn:00031339n
d000.s060.t000 bn:00077270n bn:00019893n bn:00077267n
d000.s061.t000 bn:00022200n
d000.s062.t000 bn:00088927v
d000.s063.t000 bn:00019494n
d000.s064.t000 bn:00066995n
d000.s065.t000 bn:00045222n
d000.s066.t000 bn:00058689n
d000.s067.t000 bn:00020931n
d000.s068.t000 bn:00077537n
d000.s069.t000 bn:00009631n
d000.s070.t000 bn:00017104n
d000.s071.t000 bn:00047082n bn:00051712n bn:00073197n
d000.s072.t000 bn:00092783v
d000.s073.t000 bn:00002870n
d000.s074.t000 bn:00094934v
d000.s075.t000 bn:00016332n
d000.s076.t000 bn:00008793n
d000.s077.t000 bn:00022165n
d000.s078.t000 bn:00071174n
d000.s079.t000 bn:00007732n
d000.s080.t000 bn:00072950n
d000.s081.t000 bn:00053505n
d000.s082.t000 bn:00067948n
d000.s083.t000 bn:00082791v
d000.s084.t000 bn:00021533n
d000.s085.t000 bn:00025419n
d000.s086.t000 bn:00042043n
d000.s087.t000 bn:00027898n
d000.s088.t000 bn:00018121n
d000.s089.t000 bn:00027619n
d000.s090.t000 bn:00082428v
d000.s091.t000 bn:00057768n
d000.s092.t000 bn:00045977n
d000.s093.t000 bn:00081370n
d000.s094.t000 bn:00047597n
d000.s095.t000 bn:00094297v
d000.s096.t000 bn:00021477n
d000.s097.t000 bn:00026000n
d000.s098.t000
d000.s099.t000 bn:00081546n
d000.s100.t000 bn:00040159n
d000.s101.t000 bn:00082872v
d000.s102.t000 bn:00088724v
d000.s103.t000 bn:00070919n bn:00070920n
