d000.s00000.t00000 bn:00046516n
d000.s00001.t00000 bn:00026301n
d000.s00002.t00000 bn:00053867n
d000.s00003.t00000 bn:00056037n
d000.s00004.t00000 bn:00033963n
d000.s00005.t00000 bn:00033963n
d000.s00006.t00000 bn:00033963n
d000.s00007.t00000 bn:00029900n
d000.s00008.t00000 bn:00001127n
d000.s00009.t00000 bn:00001564n
d000.s00010.t00000 bn:00002764n
d000.s00011.t00000 bn:00015675n
d000.s00012.t00000 bn:00031485n
d000.s00013.t00000 bn:00031485n
d000.s00014.t00000 bn:00069034n
d000.s00015.t00000 bn:00007366n
d000.s00016.t00000 bn:00042242n
d000.s00017.t00000 bn:00026650n
d000.s00018.t00000 bn:00022886n
d000.s00019.t00000 bn:00018661n
d000.s00020.t00000 bn:00046962n
d000.s00021.t00000 bn:00000649n
d000.s00022.t00000 bn:00030113n
d000.s00023.t00000 bn:00029685n
d000.s00024.t00000 bn:00026371n
d000.s00025.t00000 bn:00011408n
d000.s00026.t00000 bn:00026472n
d000.s00027.t00000 bn:00059480n
d000.s00028.t00000 bn:00022412n
d000.s00029.t00000 bn:00022412n
d000.s00030.t00000 bn:00068009n
d000.s00031.t00000 bn:00019647n
d000.s00032.t00000 bn:00071325n
d000.s00033.t00000 bn:00066830n
d000.s00034.t00000 bn:00005142n
d000.s00035.t00000 bn:00000666n
d000.s00036.t00000 bn:00068552n
d000.s00037.t00000 bn:00078085n
d000.s00038.t00000 bn:00077747n
d000.s00039.t00000 bn:00035207n
d000.s00040.t00000 bn:00050548n
d000.s00041.t00000 bn:00032163n
d000.s00042.t00000 bn:00021914n
d000.s00043.t00000 bn:00068323n
d000.s00044.t00000 bn:00032085n
d000.s00045.t00000 bn:00035589n
d000.s00046.t00000 bn:00042404n
d000.s00047.t00000 bn:00042404n
d000.s00048.t00000 bn:00027865n
d000.s00049.t00000 bn:00037182n
d000.s00050.t00000 bn:00037182n
d000.s00051.t00000 bn:00037182n
d000.s00052.t00000 bn:00037180n
d000.s00053.t00000 bn:00008804n
d000.s00054.t00000 bn:00034151n
d000.s00055.t00000 bn:00070651n
d000.s00056.t00000 bn:00023496n
d000.s00057.t00000 bn:00051155n
