d0000001.s001.h001 bn:00058442n
d0000002.s001.h001 bn:00079109n
d0000003.s001.h001 bn:00079109n
d0000004.s001.h001 bn:00021806n
d0000005.s001.h001 bn:00021806n
d0000006.s001.h001 bn:00051053n
d0000007.s001.h001 bn:00046516n
d0000008.s001.h002 bn:00074985n
d0000008.s001.t001 bn:00026301n
d0000009.s001.h001 bn:00074987n
d0000010.s001.h001 bn:00053867n
d0000011.s001.h001 bn:00006122n
d0000012.s001.h001 bn:00056037n
d0000013.s001.h001 bn:00056037n
d0000014.s001.h001 bn:00074009n
d0000015.s001.h001 bn:00074009n
d0000016.s001.h001 bn:00074009n
d0000017.s001.h001 bn:00033963n
d0000018.s001.h001 bn:00033963n
d0000019.s001.h001 bn:00033963n
d0000020.s001.h001 bn:00035909n
d0000021.s001.h001 bn:00046665n
d0000022.s001.h001 bn:00046665n
d0000023.s001.h001 bn:00061910n
d0000024.s001.h001 bn:00062167n
d0000025.s001.h001 bn:00062167n
d0000026.s001.h001 bn:00076919n
d0000027.s001.h001 bn:00000369n
d0000028.s001.h001 bn:00000369n
d0000030.s001.h001 bn:00005098n
d0000031.s001.h001 bn:00005098n
d0000032.s001.h001 bn:00005098n
d0000033.s001.h001 bn:00009284n
d0000034.s001.h001 bn:00009284n
d0000035.s001.h001 bn:00014613n
d0000036.s001.h001 bn:00014613n
d0000037.s001.h001 bn:00029900n
d0000038.s001.h001 bn:00029900n
d0000039.s001.h001 bn:00023670n
d0000040.s001.h001 bn:00001127n
d0000041.s001.h001 bn:00023287n
d0000042.s001.h001 bn:00023287n
d0000043.s001.h001 bn:00011251n
d0000044.s001.h001 bn:00011251n
d0000045.s001.h001 bn:00022112n
d0000046.s001.h001 bn:00022112n
d0000047.s001.h001 bn:00013496n
d0000048.s001.h001 bn:00013496n
d0000049.s001.h001 bn:00032526n
d0000050.s001.h001 bn:00062723n
d0000051.s001.h001 bn:00023958n
d0000052.s001.h001 bn:00066998n
d0000053.s001.h001 bn:00001004n
d0000054.s001.h001 bn:00001004n
d0000055.s001.h001 bn:00044274n
d0000056.s001.h001 bn:00066084n
d0000057.s001.h001 bn:00066084n
d0000058.s001.h001 bn:00077727n
d0000059.s001.h001 bn:00061562n
d0000060.s001.h001 bn:00061562n
d0000061.s001.h001 bn:00066576n
d0000062.s001.h001 bn:00066576n
d0000063.s001.h001 bn:00040912n
d0000064.s001.h001 bn:00040912n
d0000065.s001.h001 bn:00005886n
d0000066.s001.h001 bn:00007007n
d0000067.s001.h001 bn:00001564n
d0000068.s001.h001 bn:00030989n
d0000069.s001.h001 bn:00046375n
d0000070.s001.h001 bn:00047569n
d0000071.s001.h001 bn:00031054n
d0000072.s001.h001 bn:00005027n
d0000073.s001.h001 bn:00005027n
d0000074.s001.h001 bn:00005016n
d0000075.s001.h001 bn:00066432n
d0000076.s001.h001 bn:00044531n
d0000077.s001.h001 bn:00061354n
d0000078.s001.h001 bn:00049864n
d0000079.s001.h001 bn:00049864n
d0000080.s001.h001 bn:00033672n
d0000081.s001.h001 bn:00033672n
d0000082.s001.h001 bn:00033672n
d0000083.s001.h001 bn:00081434n
d0000084.s001.h001 bn:00067458n
d0000085.s001.h001 bn:00000213n
d0000086.s001.h001 bn:00002764n
d0000087.s001.h001 bn:00065167n
d0000088.s001.h001 bn:00067464n
d0000089.s001.h001 bn:00003625n
d0000090.s001.h001 bn:00031545n
d0000092.s001.h001 bn:00031545n
d0000093.s001.h001 bn:00012910n
d0000094.s001.h001 bn:00040342n
d0000095.s001.h001 bn:00040342n
d0000096.s001.h001 bn:00036707n
d0000097.s001.h001 bn:00007006n
d0000098.s001.h001 bn:00066577n
d0000099.s001.h001 bn:00066577n
d0000100.s001.h001 bn:00066577n
