d000.s00000.t00000 bn:00026301n
d000.s00001.t00000 bn:00053867n
d000.s00002.t00000 bn:00056037n
d000.s00003.t00000 bn:00033963n
d000.s00004.t00000 bn:00033963n
d000.s00005.t00000 bn:00062167n
d000.s00006.t00000 bn:00066084n
d000.s00007.t00000 bn:00005886n
d000.s00008.t00000 bn:00031485n
d000.s00009.t00000 bn:00031485n
d000.s00010.t00000 bn:00031485n
d000.s00011.t00000 bn:00068407n
d000.s00012.t00000 bn:00068407n
d000.s00013.t00000 bn:00065265n
d000.s00014.t00000 bn:00046553n
d000.s00015.t00000 bn:00007366n
d000.s00016.t00000 bn:00044278n
d000.s00017.t00000 bn:00022886n
d000.s00018.t00000 bn:00030113n
d000.s00019.t00000 bn:00026371n
d000.s00020.t00000 bn:00009636n
d000.s00021.t00000 bn:00059480n
d000.s00022.t00000 bn:00068009n
d000.s00023.t00000 bn:00020852n
d000.s00024.t00000 bn:00055475n
d000.s00025.t00000 bn:00080357n
d000.s00026.t00000 bn:00053352n
d000.s00027.t00000 bn:00068552n
d000.s00028.t00000 bn:00068552n
d000.s00029.t00000 bn:00064547n
d000.s00030.t00000 bn:00077747n
d000.s00031.t00000 bn:00032163n
d000.s00032.t00000 bn:00056029n
d000.s00033.t00000 bn:00068323n
d000.s00034.t00000 bn:00042404n
d000.s00035.t00000 bn:00042404n
d000.s00036.t00000 bn:00077698n
d000.s00037.t00000 bn:00031546n
d000.s00038.t00000 bn:00037182n
d000.s00039.t00000 bn:00037182n
d000.s00040.t00000 bn:00037180n
d000.s00041.t00000 bn:00008804n
d000.s00042.t00000 bn:00001136n
d000.s00043.t00000 bn:00059130n
d000.s00044.t00000 bn:00070651n
d000.s00045.t00000 bn:00030625n
d000.s00046.t00000 bn:00051155n
d000.s00047.t00000 bn:00054133n
d000.s00048.t00000 bn:00068130n
d000.s00049.t00000 bn:00079916n
d000.s00050.t00000 bn:00070782n
d000.s00051.t00000 bn:00025880n
d000.s00052.t00000 bn:00025880n
d000.s00053.t00000 bn:00072322n
d000.s00054.t00000 bn:00024162n
d000.s00055.t00000 bn:00056300n
d000.s00056.t00000 bn:00055233n
d000.s00057.t00000 bn:00001296n
d000.s00058.t00000 bn:00071511n
d000.s00059.t00000 bn:00026980n
d000.s00060.t00000 bn:00046956n
d000.s00061.t00000 bn:00081774n
d000.s00062.t00000 bn:00013723n
d000.s00063.t00000 bn:00062832n
d000.s00064.t00000 bn:00046576n
d000.s00065.t00000 bn:00005927n
d000.s00066.t00000 bn:00005927n
d000.s00067.t00000 bn:00005927n
d000.s00068.t00000 bn:00060202n
d000.s00069.t00000 bn:00030195n
d000.s00070.t00000 bn:00009078n
d000.s00071.t00000 bn:00025878n
d000.s00072.t00000 bn:00009080n
d000.s00073.t00000 bn:00062403n
d000.s00074.t00000 bn:00062403n
d000.s00075.t00000 bn:00080439n
d000.s00076.t00000 bn:00054019n
d000.s00077.t00000 bn:00054019n
d000.s00078.t00000 bn:00064536n
d000.s00079.t00000 bn:00017720n
d000.s00080.t00000 bn:00008455n
d000.s00081.t00000 bn:00019708n
d000.s00082.t00000 bn:00077860n
d000.s00083.t00000 bn:00053458n
d000.s00084.t00000 bn:00053458n
d000.s00085.t00000 bn:00053481n
d000.s00086.t00000 bn:00001426n
d000.s00087.t00000 bn:00027355n
d000.s00088.t00000 bn:00059482n
d000.s00089.t00000 bn:00027435n
d000.s00090.t00000 bn:00026145n
d000.s00091.t00000 bn:00026145n
d000.s00092.t00000 bn:00042857n
d000.s00093.t00000 bn:00005019n
d000.s00094.t00000 bn:00022452n
d000.s00095.t00000 bn:00002155n
d000.s00096.t00000 bn:00002155n
d000.s00097.t00000 bn:00002155n
d000.s00098.t00000 bn:00001794n
d000.s00099.t00000 bn:00072557n
d000.s00100.t00000 bn:00074668n
d000.s00101.t00000 bn:00020712n
d000.s00102.t00000 bn:00078381n
d000.s00103.t00000 bn:00061780n
d000.s00104.t00000 bn:00061780n
d000.s00105.t00000 bn:00043796n
d000.s00106.t00000 bn:00043796n
d000.s00107.t00000 bn:00063447n
d000.s00108.t00000 bn:00015267n
d000.s00109.t00000 bn:00045153n
d000.s00110.t00000 bn:00044577n
d000.s00111.t00000 bn:00001697n
d000.s00112.t00000 bn:00005007n
d000.s00113.t00000 bn:00007046n
d000.s00114.t00000 bn:00007922n
d000.s00115.t00000 bn:00008120n
d000.s00116.t00000 bn:00008120n
d000.s00117.t00000 bn:00008120n
d000.s00118.t00000 bn:00008462n
d000.s00119.t00000 bn:00008857n
d000.s00120.t00000 bn:00009472n
d000.s00121.t00000 bn:00009472n
d000.s00122.t00000 bn:00013722n
d000.s00123.t00000 bn:00013722n
d000.s00124.t00000 bn:00007329n
d000.s00125.t00000 bn:00010805n
d000.s00126.t00000 bn:00015037n
d000.s00127.t00000 bn:00007309n
d000.s00128.t00000 bn:00016974n
d000.s00129.t00000 bn:00014395n
d000.s00130.t00000 bn:00017515n
d000.s00131.t00000 bn:00017686n
d000.s00132.t00000 bn:00017686n
d000.s00133.t00000 bn:00018606n
d000.s00134.t00000 bn:00018995n
d000.s00135.t00000 bn:00020081n
d000.s00136.t00000 bn:00020593n
d000.s00137.t00000 bn:00022118n
d000.s00138.t00000 bn:00022526n
d000.s00139.t00000 bn:00022526n
d000.s00140.t00000 bn:00024410n
d000.s00141.t00000 bn:00024410n
d000.s00142.t00000 bn:00011643n
d000.s00143.t00000 bn:00028247n
d000.s00144.t00000 bn:00028247n
d000.s00145.t00000 bn:00028639n
d000.s00146.t00000 bn:00029419n
d000.s00147.t00000 bn:00019980n
d000.s00148.t00000 bn:00019980n
d000.s00149.t00000 bn:00034702n
d000.s00150.t00000 bn:00035304n
d000.s00151.t00000 bn:00035304n
d000.s00152.t00000 bn:00006129n
d000.s00153.t00000 bn:00041468n
d000.s00154.t00000 bn:00042663n
d000.s00155.t00000 bn:00042780n
d000.s00156.t00000 bn:00043332n
d000.s00157.t00000 bn:00044994n
d000.s00158.t00000 bn:00044994n
d000.s00159.t00000 bn:00001594n
d000.s00160.t00000 bn:00053710n
d000.s00161.t00000 bn:00036522n
d000.s00162.t00000 bn:00021483n
d000.s00162.t00001 bn:00014395n
d000.s00163.t00000 bn:00054416n
d000.s00164.t00000 bn:00053983n
