d000.s00000.t00000 bn:00058442n
d000.s00001.t00000 bn:00021806n
d000.s00002.t00000 bn:00021806n
d000.s00003.t00000 bn:00046516n
d000.s00004.t00000 bn:00026301n
d000.s00004.t00001 bn:00074985n
d000.s00005.t00000 bn:00053867n
d000.s00006.t00000 bn:00056037n
d000.s00007.t00000 bn:00033963n
d000.s00008.t00000 bn:00033963n
d000.s00009.t00000 bn:00033963n
d000.s00010.t00000 bn:00035909n
d000.s00011.t00000 bn:00046665n
d000.s00012.t00000 bn:00062167n
d000.s00013.t00000 bn:00029900n
d000.s00014.t00000 bn:00001127n
d000.s00015.t00000 bn:00047569n
d000.s00016.t00000 bn:00005016n
d000.s00017.t00000 bn:00049864n
d000.s00018.t00000 bn:00049864n
d000.s00019.t00000 bn:00033672n
d000.s00020.t00000 bn:00000213n
d000.s00021.t00000 bn:00036707n
d000.s00022.t00000 bn:00021940n
d000.s00023.t00000 bn:00015675n
d000.s00024.t00000 bn:00031485n
d000.s00025.t00000 bn:00031485n
d000.s00026.t00000 bn:00011437n
d000.s00027.t00000 bn:00021792n
d000.s00028.t00000 bn:00068407n
d000.s00029.t00000 bn:00001005n
d000.s00030.t00000 bn:00001005n
d000.s00031.t00000 bn:00065265n
d000.s00032.t00000 bn:00014334n
d000.s00033.t00000 bn:00071229n
d000.s00034.t00000 bn:00001495n
d000.s00035.t00000 bn:00079382n
d000.s00036.t00000 bn:00066863n
d000.s00037.t00000 bn:00026061n
d000.s00038.t00000 bn:00046553n
d000.s00039.t00000 bn:00069034n
d000.s00040.t00000 bn:00070659n
d000.s00041.t00000 bn:00007366n
d000.s00042.t00000 bn:00046119n
d000.s00043.t00000 bn:00065342n
d000.s00044.t00000 bn:00065342n
d000.s00045.t00000 bn:00077855n
d000.s00046.t00000 bn:00048558n
d000.s00047.t00000 bn:00048558n
d000.s00048.t00000 bn:00022312n
d000.s00049.t00000 bn:00059869n
d000.s00050.t00000 bn:00053225n
d000.s00051.t00000 bn:00022886n
d000.s00052.t00000 bn:00018661n
d000.s00053.t00000 bn:00059438n
d000.s00054.t00000 bn:00001965n
d000.s00055.t00000 bn:00046962n
d000.s00056.t00000 bn:00030114n
d000.s00057.t00000 bn:00030113n
d000.s00058.t00000 bn:00008198n
d000.s00059.t00000 bn:00008198n
d000.s00060.t00000 bn:00069755n
d000.s00061.t00000 bn:00040847n
d000.s00062.t00000 bn:00028166n
d000.s00063.t00000 bn:00025707n
d000.s00064.t00000 bn:00027863n
d000.s00065.t00000 bn:00027863n
d000.s00066.t00000 bn:00067169n
d000.s00067.t00000 bn:00077973n
d000.s00068.t00000 bn:00026371n
d000.s00069.t00000 bn:00026371n
d000.s00070.t00000 bn:00043986n
d000.s00071.t00000 bn:00011408n
d000.s00072.t00000 bn:00070346n
d000.s00073.t00000 bn:00009189n
d000.s00074.t00000 bn:00000358n
d000.s00075.t00000 bn:00032456n
d000.s00076.t00000 bn:00026472n
d000.s00077.t00000 bn:00057440n
d000.s00078.t00000 bn:00009636n
d000.s00079.t00000 bn:00048577n
d000.s00080.t00000 bn:00059480n
d000.s00081.t00000 bn:00046248n
d000.s00082.t00000 bn:00007307n
d000.s00083.t00000 bn:00046934n
d000.s00084.t00000 bn:00046247n
d000.s00085.t00000 bn:00022412n
d000.s00086.t00000 bn:00026695n
d000.s00087.t00000 bn:00013248n
d000.s00088.t00000 bn:00019647n
d000.s00089.t00000 bn:00020852n
d000.s00090.t00000 bn:00071325n
d000.s00091.t00000 bn:00059223n
d000.s00092.t00000 bn:00059223n
d000.s00093.t00000 bn:00059223n
d000.s00094.t00000 bn:00055475n
d000.s00095.t00000 bn:00059879n
d000.s00096.t00000 bn:00012127n
d000.s00097.t00000 bn:00025980n
d000.s00098.t00000 bn:00022885n
d000.s00099.t00000 bn:00068538n
d000.s00100.t00000 bn:00005142n
d000.s00101.t00000 bn:00080357n
d000.s00102.t00000 bn:00053352n
d000.s00103.t00000 bn:00053352n
d000.s00104.t00000 bn:00068552n
d000.s00105.t00000 bn:00068552n
d000.s00106.t00000 bn:00078085n
d000.s00107.t00000 bn:00077747n
d000.s00108.t00000 bn:00048557n
d000.s00109.t00000 bn:00050548n
d000.s00110.t00000 bn:00048471n
d000.s00111.t00000 bn:00032163n
d000.s00112.t00000 bn:00013142n
d000.s00113.t00000 bn:00070658n
d000.s00114.t00000 bn:00025685n
d000.s00115.t00000 bn:00078043n
d000.s00116.t00000 bn:00078043n
d000.s00117.t00000 bn:00056029n
d000.s00118.t00000 bn:00067311n
d000.s00119.t00000 bn:00068323n
d000.s00120.t00000 bn:00049001n
d000.s00121.t00000 bn:00050525n
d000.s00122.t00000 bn:00032056n
d000.s00123.t00000 bn:00032404n
d000.s00124.t00000 bn:00025802n
d000.s00125.t00000 bn:00026391n
d000.s00126.t00000 bn:00027122n
d000.s00127.t00000 bn:00027056n
d000.s00128.t00000 bn:00027056n
d000.s00129.t00000 bn:00003663n
d000.s00130.t00000 bn:00021881n
d000.s00131.t00000 bn:00069586n
d000.s00132.t00000 bn:00077053n
d000.s00133.t00000 bn:00061668n
d000.s00134.t00000 bn:00003126n
d000.s00135.t00000 bn:00054574n
d000.s00136.t00000 bn:00001172n
d000.s00137.t00000 bn:00061054n
d000.s00138.t00000 bn:00063989n
d000.s00139.t00000 bn:00042404n
d000.s00140.t00000 bn:00042404n
d000.s00141.t00000 bn:00044136n
d000.s00142.t00000 bn:00019811n
d000.s00143.t00000 bn:00032336n
d000.s00144.t00000 bn:00032336n
d000.s00145.t00000 bn:00059196n
d000.s00146.t00000 bn:00077698n
d000.s00147.t00000 bn:00067702n
d000.s00148.t00000 bn:00027865n
d000.s00149.t00000 bn:00027865n
d000.s00150.t00000 bn:00031546n
d000.s00151.t00000 bn:00031546n
d000.s00152.t00000 bn:00037169n
d000.s00153.t00000 bn:00037169n
d000.s00154.t00000 bn:00037182n
d000.s00155.t00000 bn:00037182n
d000.s00156.t00000 bn:00037182n
d000.s00157.t00000 bn:00047083n
d000.s00158.t00000 bn:00047083n
d000.s00159.t00000 bn:00037180n
d000.s00160.t00000 bn:00008804n
d000.s00161.t00000 bn:00008804n
d000.s00162.t00000 bn:00034151n
d000.s00163.t00000 bn:00078767n
d000.s00164.t00000 bn:00056444n
d000.s00165.t00000 bn:00064648n
d000.s00166.t00000 bn:00027638n
d000.s00167.t00000 bn:00053173n
d000.s00168.t00000 bn:00070647n
d000.s00169.t00000 bn:00005147n
d000.s00170.t00000 bn:00001136n
d000.s00171.t00000 bn:00059130n
d000.s00172.t00000 bn:00059130n
d000.s00173.t00000 bn:00070651n
d000.s00174.t00000 bn:00030625n
d000.s00175.t00000 bn:00064232n
d000.s00176.t00000 bn:00017516n
d000.s00177.t00000 bn:00023496n
d000.s00178.t00000 bn:00051155n
d000.s00179.t00000 bn:00054133n
d000.s00180.t00000 bn:00076828n
d000.s00181.t00000 bn:00074185n
d000.s00182.t00000 bn:00074966n
d000.s00183.t00000 bn:00025713n
d000.s00184.t00000 bn:00041427n
d000.s00185.t00000 bn:00059929n
d000.s00186.t00000 bn:00032203n
d000.s00187.t00000 bn:00032203n
d000.s00188.t00000 bn:00032203n
d000.s00189.t00000 bn:00003787n
d000.s00190.t00000 bn:00003787n
d000.s00191.t00000 bn:00016583n
d000.s00192.t00000 bn:00059129n
d000.s00193.t00000 bn:00059470n
d000.s00194.t00000 bn:00003798n
d000.s00195.t00000 bn:00005094n
d000.s00196.t00000 bn:00005094n
d000.s00197.t00000 bn:00018756n
d000.s00198.t00000 bn:00018756n
d000.s00199.t00000 bn:00018756n
d000.s00200.t00000 bn:00018756n
d000.s00201.t00000 bn:00036823n
