d000.s00000.t00000 bn:00058442n
d000.s00001.t00000 bn:00046516n
d000.s00002.t00000 bn:00026301n
d000.s00003.t00000 bn:00053867n
d000.s00004.t00000 bn:00056037n
d000.s00005.t00000 bn:00035909n
d000.s00006.t00000 bn:00031485n
d000.s00007.t00000 bn:00068407n
d000.s00008.t00000 bn:00071229n
d000.s00009.t00000 bn:00007366n
d000.s00010.t00000 bn:00048558n
d000.s00011.t00000 bn:00022886n
d000.s00012.t00000 bn:00046962n
d000.s00013.t00000 bn:00026371n
d000.s00014.t00000 bn:00070332n
d000.s00015.t00000 bn:00018684n
d000.s00016.t00000 bn:00059480n
d000.s00017.t00000 bn:00066830n
d000.s00018.t00000 bn:00078085n
d000.s00019.t00000 bn:00064547n
d000.s00020.t00000 bn:00077747n
d000.s00021.t00000 bn:00035207n
d000.s00022.t00000 bn:00042404n
d000.s00023.t00000 bn:00077698n
d000.s00024.t00000 bn:00037169n
d000.s00025.t00000 bn:00037180n
d000.s00026.t00000 bn:00008804n
d000.s00027.t00000 bn:00034151n
d000.s00028.t00000 bn:00078767n
d000.s00029.t00000 bn:00070651n
d000.s00030.t00000 bn:00073205n
d000.s00031.t00000 bn:00054133n
d000.s00032.t00000 bn:00025713n
d000.s00033.t00000 bn:00041427n
d000.s00034.t00000 bn:00076843n
d000.s00035.t00000 bn:00016583n
d000.s00036.t00000 bn:00003798n
d000.s00037.t00000 bn:00018756n
d000.s00038.t00000 bn:00068130n
d000.s00039.t00000 bn:00023807n
d000.s00040.t00000 bn:00050004n
d000.s00041.t00000 bn:00059638n
d000.s00042.t00000 bn:00059638n
d000.s00043.t00000 bn:00021880n
d000.s00044.t00000 bn:00001543n
d000.s00045.t00000 bn:00024162n
d000.s00046.t00000 bn:00055233n
d000.s00047.t00000 bn:00026980n
d000.s00048.t00000 bn:00046576n
d000.s00049.t00000 bn:00026535n
d000.s00050.t00000 bn:00005927n
d000.s00051.t00000 bn:00005927n
d000.s00052.t00000 bn:00005927n
d000.s00053.t00000 bn:00030195n
