d000.s00000.t00000 bn:00058442n
d000.s00001.t00000 bn:00079109n
d000.s00002.t00000 bn:00051053n
d000.s00003.t00000 bn:00046516n
d000.s00004.t00000 bn:00026301n
d000.s00004.t00001 bn:00074985n
d000.s00005.t00000 bn:00053867n
d000.s00006.t00000 bn:00006122n
d000.s00007.t00000 bn:00056037n
d000.s00008.t00000 bn:00056037n
d000.s00009.t00000 bn:00074009n
d000.s00010.t00000 bn:00074009n
d000.s00011.t00000 bn:00074009n
d000.s00012.t00000 bn:00033963n
d000.s00013.t00000 bn:00033963n
d000.s00014.t00000 bn:00033963n
d000.s00015.t00000 bn:00035909n
d000.s00016.t00000 bn:00046665n
d000.s00017.t00000 bn:00062167n
d000.s00018.t00000 bn:00076919n
d000.s00019.t00000 bn:00029900n
d000.s00020.t00000 bn:00001127n
d000.s00021.t00000 bn:00023287n
d000.s00022.t00000 bn:00022112n
d000.s00023.t00000 bn:00022112n
d000.s00024.t00000 bn:00001004n
d000.s00025.t00000 bn:00044274n
d000.s00026.t00000 bn:00005886n
d000.s00027.t00000 bn:00007007n
d000.s00028.t00000 bn:00001564n
d000.s00029.t00000 bn:00030989n
d000.s00030.t00000 bn:00047569n
d000.s00031.t00000 bn:00005027n
d000.s00032.t00000 bn:00005027n
d000.s00033.t00000 bn:00066432n
d000.s00034.t00000 bn:00044531n
d000.s00035.t00000 bn:00061354n
d000.s00036.t00000 bn:00049864n
d000.s00037.t00000 bn:00049864n
d000.s00038.t00000 bn:00033672n
d000.s00039.t00000 bn:00000213n
d000.s00040.t00000 bn:00002764n
d000.s00041.t00000 bn:00007006n
d000.s00042.t00000 bn:00066577n
d000.s00043.t00000 bn:00066577n
d000.s00044.t00000 bn:00066577n
d000.s00045.t00000 bn:00075024n
d000.s00046.t00000 bn:00075024n
d000.s00047.t00000 bn:00052052n
d000.s00048.t00000 bn:00015675n
d000.s00049.t00000 bn:00031485n
d000.s00050.t00000 bn:00031485n
d000.s00051.t00000 bn:00011437n
d000.s00052.t00000 bn:00021792n
d000.s00053.t00000 bn:00068407n
d000.s00054.t00000 bn:00068407n
d000.s00055.t00000 bn:00001005n
d000.s00056.t00000 bn:00001005n
d000.s00057.t00000 bn:00065265n
d000.s00058.t00000 bn:00014334n
d000.s00059.t00000 bn:00014334n
d000.s00060.t00000 bn:00071229n
d000.s00061.t00000 bn:00071229n
d000.s00062.t00000 bn:00006560n
d000.s00063.t00000 bn:00006560n
d000.s00064.t00000 bn:00006560n
d000.s00065.t00000 bn:00064570n
d000.s00066.t00000 bn:00005155n
d000.s00067.t00000 bn:00079382n
d000.s00068.t00000 bn:00066863n
d000.s00069.t00000 bn:00046553n
d000.s00070.t00000 bn:00069034n
d000.s00071.t00000 bn:00016286n
d000.s00072.t00000 bn:00054061n
d000.s00073.t00000 bn:00054061n
d000.s00074.t00000 bn:00070659n
d000.s00075.t00000 bn:00047197n
d000.s00076.t00000 bn:00007366n
d000.s00077.t00000 bn:00046119n
d000.s00078.t00000 bn:00077090n
d000.s00079.t00000 bn:00065342n
d000.s00080.t00000 bn:00065342n
d000.s00081.t00000 bn:00064248n
d000.s00082.t00000 bn:00071307n
d000.s00083.t00000 bn:00077758n
d000.s00084.t00000 bn:00077855n
d000.s00085.t00000 bn:00036018n
d000.s00086.t00000 bn:00052834n
d000.s00087.t00000 bn:00022113n
d000.s00088.t00000 bn:00044275n
d000.s00089.t00000 bn:00023572n
d000.s00090.t00000 bn:00012171n
d000.s00091.t00000 bn:00012171n
d000.s00092.t00000 bn:00016707n
d000.s00093.t00000 bn:00017985n
d000.s00094.t00000 bn:00021303n
d000.s00095.t00000 bn:00021303n
d000.s00096.t00000 bn:00016035n
d000.s00097.t00000 bn:00016035n
d000.s00098.t00000 bn:00016035n
d000.s00099.t00000 bn:00021915n
d000.s00100.t00000 bn:00077232n
d000.s00101.t00000 bn:00026650n
d000.s00102.t00000 bn:00028020n
d000.s00103.t00000 bn:00020400n
d000.s00104.t00000 bn:00020400n
d000.s00105.t00000 bn:00030709n
