d000.s00000.t00000 bn:00046516n
d000.s00001.t00000 bn:00024162n
d000.s00002.t00000 bn:00080439n
d000.s00003.t00000 bn:00018996n
d000.s00004.t00000 bn:00053458n
d000.s00005.t00000 bn:00020858n
d000.s00006.t00000 bn:00002155n
d000.s00007.t00000 bn:00015267n
d000.s00008.t00000 bn:00012273n
d000.s00009.t00000 bn:00012273n
d000.s00010.t00000 bn:00012273n
d000.s00011.t00000 bn:00005007n
d000.s00012.t00000 bn:00007922n
d000.s00013.t00000 bn:00018995n
d000.s00014.t00000 bn:00000356n
d000.s00015.t00000 bn:00031044n
d000.s00016.t00000 bn:00019980n
d000.s00017.t00000 bn:00041468n
d000.s00018.t00000 bn:00020602n
d000.s00019.t00000 bn:00080721n
d000.s00020.t00000 bn:00045179n
d000.s00021.t00000 bn:00011477n
d000.s00022.t00000 bn:00074615n
d000.s00023.t00000 bn:00034394n
d000.s00024.t00000 bn:00034394n
d000.s00025.t00000 bn:00063940n
d000.s00026.t00000 bn:00063940n
d000.s00027.t00000 bn:00042528n
d000.s00028.t00000 bn:00042526n
d000.s00029.t00000 bn:00042526n
d000.s00030.t00000 bn:00001386n
d000.s00031.t00000 bn:00011346n
d000.s00032.t00000 bn:00011346n
d000.s00033.t00000 bn:00076312n
d000.s00034.t00000 bn:00015784n
d000.s00035.t00000 bn:00012950n
d000.s00036.t00000 bn:00007727n
d000.s00037.t00000 bn:00035679n
d000.s00038.t00000 bn:00035679n
d000.s00039.t00000 bn:00034565n
d000.s00040.t00000 bn:00058117n
d000.s00041.t00000 bn:00012681n
d000.s00042.t00000 bn:00006565n
d000.s00043.t00000 bn:00028658n
d000.s00044.t00000 bn:00012289n
d000.s00045.t00000 bn:00059168n
d000.s00046.t00000 bn:00081546n
d000.s00047.t00000 bn:00058290n
d000.s00048.t00000 bn:00056758n
d000.s00049.t00000 bn:00056758n
d000.s00050.t00000 bn:00081714n
d000.s00051.t00000 bn:00012059n
d000.s00052.t00000 bn:00050802n
d000.s00053.t00000 bn:00021959n
d000.s00054.t00000 bn:00078460n
d000.s00055.t00000 bn:00060095n
d000.s00056.t00000 bn:00072794n
d000.s00057.t00000 bn:00049911n
d000.s00058.t00000 bn:00025582n
d000.s00059.t00000 bn:00024511n
d000.s00060.t00000 bn:00024511n
d000.s00061.t00000 bn:00078365n
d000.s00062.t00000 bn:00078365n
d000.s00063.t00000 bn:00078365n
d000.s00064.t00000 bn:00078365n
d000.s00065.t00000 bn:00052121n
d000.s00066.t00000 bn:00052121n
d000.s00067.t00000 bn:00035650n
d000.s00068.t00000 bn:00061450n
d000.s00069.t00000 bn:00032893n
d000.s00070.t00000 bn:00045972n
d000.s00071.t00000 bn:00023236n
